exchange_name,latency,ts
binance,174.795,1652953277.017643
okx,7.655,1652953278.28624
binance,168.952,1652953283.501496
okx,8.903,1652953284.930441
binance,168.404,1652953290.174565
okx,8.672,1652953291.4727628
binance,169.222,1652953296.710668
okx,9.412,1652953297.991266
binance,169.704,1652953303.239788
okx,9.386,1652953304.6013172
binance,170.292,1652953310.0709891
okx,8.597,1652953311.528047
binance,169.499,1652953316.959585
okx,7.885,1652953318.262783
binance,175.871,1652953323.527683
okx,9.198,1652953324.839299
binance,170.317,1652953330.072474
okx,8.532,1652953331.578611
binance,173.849,1652953336.847035
okx,7.887,1652953338.15127
